Id,lenm,cols,rows,cole,rowe
203,44,3515,4473,3515,4473
204,56,3496,4536,3496,4536
205,100,3537,4514,3537,4514
206,45,3532,4501,3533,4501
207,29,3551,4485,3551,4485
208,25,3587,4460,3587,4460
209,18,3481,4618,3481,4618
210,295,3520,4647,3520,4647
211,151,3529,4676,3529,4676
212,370,3545,4662,3545,4661
213,212,3559,4650,3559,4650
214,229,3539,4613,3539,4613
215,945,3584,4678,3584,4674
216,115,3582,4748,3582,4748
217,354,3611,4737,3611,4736
218,224,3666,4838,3665,4838
219,71,3663,4832,3661,4832
220,206,3670,4823,3670,4823
221,613,3684,4823,3684,4821
222,813,3686,4808,3686,4808
223,199,3641,4810,3641,4810
224,140,3646,4810,3646,4810
225,178,3649,4808,3649,4808
226,44,3610,4591,3610,4591
227,81,3633,4604,3633,4604
228,321,3644,4630,3644,4629
229,276,3663,4641,3663,4640
230,322,3681,4656,3681,4655
231,115,3693,4651,3693,4651
232,32,3730,4674,3730,4672
233,130,3755,4660,3755,4660
234,372,3759,4673,3760,4673
235,760,3743,4729,3746,4729
236,808,3763,4743,3766,4743
237,574,3773,4753,3776,4753
238,545,3805,4809,3808,4809
239,214,3789,4856,3789,4856
240,78,3770,4851,3770,4851
241,108,3780,4841,3780,4841
242,1099,3855,4853,3855,4849
243,277,3886,4872,3886,4872
244,264,3840,4748,3840,4748
245,150,3840,4681,3840,4681
246,166,3813,4694,3813,4694
247,77,3851,4612,3851,4612
248,174,3946,4538,3946,4538
249,228,3778,4443,3778,4442
250,187,3839,4798,3839,4798
251,285,3834,4792,3834,4792
252,217,3286,4265,3286,4265
253,83,3386,4327,3386,4327
254,158,3430,4274,3430,4274
255,159,3482,4290,3482,4290
256,167,3497,4239,3497,4239
257,170,3507,4210,3507,4210
258,206,3500,4205,3500,4205
259,368,3458,4171,3458,4171
260,921,3468,4103,3466,4103
261,195,3452,4002,3452,4002
262,145,3458,4202,3458,4202
263,176,3501,5285,3501,5285
264,195,3502,5262,3502,5262
265,131,3489,5236,3489,5236
266,36,3484,5223,3484,5223
267,54,3500,5234,3500,5234
268,592,3400,5206,3400,5206
269,254,3347,5143,3347,5143
270,137,3345,5025,3345,5025
271,257,3367,5003,3367,5004
272,212,3405,4971,3405,4971
273,326,3346,4945,3346,4944
274,161,2737,4829,2737,4829
275,182,2613,4796,2613,4796
276,147,2653,4790,2653,4790
277,268,2630,4752,2630,4752
278,28,2526,5064,2526,5064
279,125,2491,5044,2491,5044
280,114,2612,5376,2612,5376
281,85,2612,5389,2612,5389
282,66,2590,5387,2590,5387
283,99,2579,5392,2579,5392
284,152,2599,5403,2599,5403
285,156,2609,5418,2609,5418
286,121,2586,5462,2586,5462
287,222,2462,5595,2462,5595
288,64,2451,5604,2451,5604
289,257,2435,5611,2435,5611
290,309,2408,5619,2408,5619
291,240,2359,5641,2359,5641
292,193,2345,5656,2345,5656
293,67,2494,5461,2494,5461
294,86,2486,5474,2486,5474
295,152,2466,5472,2466,5472
296,116,2460,5479,2460,5479
297,209,2438,5481,2438,5481
298,658,2444,5368,2444,5370
299,119,2386,5395,2386,5395
300,134,2379,5390,2379,5390
301,257,2376,5378,2377,5378
302,104,2376,5363,2376,5363
303,62,2374,5352,2374,5352
304,33,2367,5340,2367,5340
305,22,2359,5326,2359,5326
306,341,2326,5136,2325,5136
